title,description,State/Province,VCS Proponent,CCB Proponent,VCS Project Status,VCS Estimated Annual Emission Reductions,CCB Estimated Annual Emission Reductions,Total Buffer Pool Credits,VCS Project Type,AFOLU Activity,VCS Methodology,VCS Acres/Hectares,CCB Acres/Hectares,VCS Project Validator,Project Registration Date,Crediting Period Term,CCB Project Status,CCB Project Type,CCB Project Validator,CCB Standard Edition,Auditor Site Visit To and From Date,id
"Malleco, Lomas de Duqueco and Negrete Wind Project, Chile",The objective of the project made up of three wind farms is to contribute to sustainable development through the generation of renewable electrical energy by contributing to reducing the participation of thermoelectrical plants.  PUBLIC COMMENT PERIOD: This project was open for public comment from 5 November – 5 December 2019.,"Proyectos eólicos Duqueco, Malleco and Negrete en",Multiple Proponents,,Rejected by Administrator,699147,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"Ruby Canyon Engineering, Inc",,"1st, 01/01/2021 - 31/12/2030",,,,,,1978
"10 MW biomass based power generation project at Wani, Yavatmal by Shalivahana Projects Limited","The project activity involves installation of 10 MW biomass power project in Maharashtra. The project will replace anthropogenic emissions of greenhouse gases (GHG’s) estimated to be approximately 48,132  tCO2e per year, thereon displacing 55,800 MWh/year amount of electricity from the generation-mix of power plants connected to the Indian electricity grid, which is mainly dominated by thermal/fossil fuel based power plant. Total estimated GHG emission reductions for the chosen 10 year fixed crediting period will be 481,320 tonnes of CO2.PUBLIC COMMENT PERIOD:This project was open for public comment from 6 November – 6 December 2019. No comments were received.",Maharashtra,Shalivahana Green Energy Limited,,Under development,48132,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,,,"CREDITING PERIOD HAS EXPIRED, 01/09/2012 - 31/08/2022",,,,,,1979
"24 MW Chayadevi Mini Hydro power project in Karnataka, India","M/s Bhoruka Power Corporation Limited is setting up a 24 MW run of the river hydro power project in the southern Indian state of Karnataka to generate electricity and feeding the electricity to the grid of Karnataka Power Transmission Corporation Ltd. (KPTCL), which is the local power utility in the state. KPTCL grid is an integral part of the erstwhile Southern Regional power grid or now Indian grid. The project activity envisages utilizing spills from Narayanpur dam located in Bijapur District of Karnataka. The hydropower project that spreading over two 12 MW hydropower generation units, comprises of a diversion structure across river Krishna, power canal of length of 1500 meters, two penstocks of short length, powerhouse with two TG units and a short tailracechannel. It is estimated that the power generation from the hydro project in a 75% dependable year basis, will be 49.5 GWh.PUBLIC COMMENT PERIOD:This project was open for public comment from 6 November – 6 December 2019.",Karnataka,"Bhoruka Power Corporation Limited
Istanbul, Turkey",,Under development,42419,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,,,"2nd, 23/07/2017 - 22/07/2027",,,,,,1980
"Waste Heat Recovery Power Project at JK Cement Works (Unit of JK Cement Limited), Nimbahera, Chittorgarh, Rajasthan","JK Cement Ltd. (JKCL) has its cement manufacturing facility located at Nimbahera, Distt. Chittorgarh, Rajasthan. The facility commenced its operations in 1974 and has a current capacity of 2.8 million tonnes of cement production per annum with three kilns in operation.In the pre-project scenario, electric power demand of the facility was 32 MW and that was met by three sources: (a)14.0 MW from diesel generator (DG) sets, (b)13.25 MW from Ajmer Vidyut Vitran Nigam Ltd (AVVNL)1 and (c) 4.75 MW from JK Power’s, thermal power plant.The project activity would be generating useful output of approximately 90.0 million kWh/annum after auxiliary consumption and would contribute to reduce an equivalent amount of electricity demand from the grid which would be utilized for other significant purposes. The average annual estimated total of emission reductions to be achieved by the project activity is 70,796 tCO2e.PUBLIC COMMENT PERIOD:This project was open for public comment from 6 November – 6 December 2019.",Rajasthan,JK Cement Ltd. (JKCL),,Registered,70796,,,Energy industries (renewable/non-renewable sources),,ACM0012,,,Earthood Services Private Limited,16/03/2022,"CREDITING PERIOD HAS EXPIRED, 01/04/2008 - 31/03/2018",,,,,,1981
Ngodwana Biomass to Energy Project,"The Ngodwana Biomass to Energy Project (hereinafter, the Project) is developed by Ngodwana Energy (Pty) Ltd. (hereinafter the Project Proponent) and is a forestry biomass residue utilization project. The proposed project activity concerns a newly built, greenfield biomass to energy plant, situated in the Mpumalanga Province of South Africa in the eastern part of the country, bordering the nations of Swaziland and Mozambique.",Mpumalanga Provice,"Ngodwana Energy (Pty) Ltd.
Johannesburg, South Africa",,Registered,188150,,,Energy industries (renewable/non-renewable sources),,ACM0018,,,Tuev Nord Cert GmbH (Tuev Nord),05/01/2022,"1st, 01/08/2020 - 31/07/2030",,,,,,1982
Guangdong Taishan Shangchuandao Island Phase II Wind Farm Project,Units from this CDM project were converted into VCUs in compliance with VCS requirements. More information on the project can be found at CDM Project ID 2954: https://cdm.unfccc.int/Projects/DB/SGS-UKL1252059488.67,Shangchuandao Island,Credits transferred from approved GHG program,,Registered,28813,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,China Quality Certification Center (CQC),06/11/2019,"CREDITING PERIOD HAS EXPIRED, 09/09/2017 - 08/09/2024",,,,,,1983
"40 MW Bundled Solar Project in Telangana, India","The project activity involves installation of 04 projects of 10 MWAC each, totalling to 40 MWAC (corresponding to 54.525 MWp) solar power project under National Solar Mission, Phase-II, Batch-II, Tranche – I, State Specific Bundling Scheme. The projects are installed in the same project boundary at Village: Mandamarri, District: Mancherial, State: Telangana. The project will replace anthropogenic emissions of greenhouse gases (GHG’s) estimated to be approximately 79,241 tCO2e per annum, thereon displacing 84,587 MWh/year amount of electricity from the generation-mix of power plants connected to the Indian electricity grid, which is mainly dominated by thermal/fossil fuel-based power plant.",Telangana,Multiple Proponents,,Withdrawn,79241,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,VCS Validation/Verification Body,,,,,,,,1984
"100 MW Bundled Wind Power Project in Anantapuram, Andhra Pradesh","The project activity consists of a bundle of 50 Wind Electric Generators (WEG) of Gamesa Wind Turbines Private Limited make in Anantapuram District, Andhra Pradesh. 40 machines of 2 MW capacity have been set up by Guttaseema Wind Energy Company Private Limited (GWECPL) and the other 10 machines of 2 MW have been setup by Vayuputhra Energy Private Limited (VEPL). The generated electricity is evacuated to the Grid through the locally available grid substations facility in Anantapuram District of the state of Andhra Pradesh.  PUBLIC COMMENT PERIOD: This project was open for public comment from 11 November – 11 December 2019.",Andhra Pradesh,Multiple Proponents,,Registered,192849,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"LGAI Technological Center, S.A. (Applus+)",07/02/2020,"1st, 22/03/2018 - 21/03/2028",,,,,,1985
"13 MW Grid Connected Dandela Mini Hydel Scheme, Karnataka State, India.","M/s Sagar Power (Dandela) Private Limited utilises discharge of Dandela falls in Netravathi River to generate electrical power for supply to the state grid. The project with an installed capacity of 13.05 MW will generate an average annual energy of 38.20 GWh in which 37.63 GWh will be exported to Mangalore Electric Supply Company limited (MESCOM) under Power Purchase Agreement (PPA), thereby improving the quality and energy availability under the service area of the substation. Thus the project leads to, an average displacement of 32,160 tCO2 emissions annually and will lead to 321,600 tCO2 over the entire crediting periodPUBLIC COMMENT PERIOD:This project was open for public comment from 11 November – 11 December 2019.",Karnataka,Sagar Power Dandela Private Limited,,Under development,32160,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,,,"2nd, 19/07/2019 - 18/07/2029",,,,,,1986
GENNEIA WIND PROJECTS IN ARGENTINA,"The project has a total installed capacity of 247.38 MW and an expected average generation of around 1,093.9 GWh per year, which will be delivered to the SADI; avoiding part of the electricity generated by the grid-connected power plants. Thus, it will contribute to sustainability by increasing the share of renewable energy and reducing GHG emissions PUBLIC COMMENT PERIOD: This project was open for public comment from 11 November – 11 December 2019.",Multiple Provinces,"GENNEIA S.A.
Buenos Aires, Argentina",,Registered,430346,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"Ruby Canyon Engineering, Inc",10/09/2020,"1st, 12/11/2018 - 11/11/2028",,,,,,1987
Oualidia 1&2 Wind Projects.,"The bundled project consists of the construction and operation of two adjacent greenfield wind power plants located in Oualidia commune, Sidi Bennour province, Casablanca Settat region, Morocco. It involves the setting up of reconditioned, grid-connected wind turbines for a total installed capacity of 35,600 kW which will capture wind energy and produce electricity for export to Morocco national grid.  PUBLIC COMMENT PERIOD: This project was open for public comment from 11 November – 11 December 2019.",Sidi Bennour,"AERA Group
Paris, France",,Registered,54114,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Earthood Services Private Limited,20/12/2019,"1st, 01/01/2020 - 31/12/2029",,,,,,1989
"40MW Bundled Solar Project in Telangana, India","The project activity involves installation of 04 projects of 10 MWAC each, totalling to 40 MWAC (corresponding to 54.525 MWp) solar power project under National Solar Mission, Phase-II, Batch-II, Tranche – I, State Specific Bundling Scheme. The projects are installed in the same project boundary at Village: Mandamarri, District: Mancherial, State: Telangana. The project will replace anthropogenic emissions of greenhouse gases (GHG’s) estimated to be approximately 79,241 tCO2e per annum, thereon displacing 84,587 MWh/year amount of electricity from the generation-mix of power plants connected to the Indian electricity grid, which is mainly dominated by thermal/fossil fuel-based power plants.  PUBLIC COMMENT PERIOD: This project was open for public comment from 12 November – 12 December 2019.",Telangana,Multiple Proponents,,Registered,79241,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"LGAI Technological Center, S.A. (Applus+)",16/03/2020,"1st, 22/12/2017 - 21/12/2027",,,,,,1990
